entity_id,total_comments
ext_114471842702008320196,0
do_113952142517436416180,49
do_113945209561980928189,292
do_1136259527462338561561,1
do_1143167335788953601630,119
do_1142629796834836481129,265
do_1142883126420029441203,14
do_114183174302687232182,1
do_114183167506243584198,1
do_1143174337164247041764,19
do_1144088457826058241725,22
do_114324639659335680137,74
do_1143040513461370881491,48
do_1144661021578035201543,50
do_11435135327828377611161,1
do_1144378538532372481397,29
do_114457645337182208145_rc,1
do_1143868178620006401105,45
do_1142799806963466241352,34
do_114295463781277696173,584
do_1141846176688701441163,175
do_1140490953565716481339,66
do_114475320113340416155,68
do_11436846660218880011085,146
do_113832654635769856117,338
do_113912477433118720170,24
do_114167520778919936123,10
do_114169586010112000167,247
do_1140492679108526081344,543
do_1142153738532126721869,15
do_1144461325355663361498,1
do_1143527543714529281141,18
do_113972021827018752127,5
do_1143033931807703041452,114
do_1144207720474787841464,31
do_1142352913640407041238,63
do_1143041006684815361551,7
do_114376047789760512133,1
do_114168167388651520138,24
do_1143195982530887681213,10
do_114169574514286592158,13
do_1144469689010176001722,11
do_1136053282744565761138,36
do_1137135468794265601113,2
do_11422052025923993611164,1001
do_1142592913769922561106,81
do_113690422597189632133,51
do_1144404898110095361453,10
do_114170262747570176122,1
do_1141842310432194561105_rc,14
do_1143613169766236161842,35
do_1140265604607672321126,11
do_1143960370618777601184,25
do_1143272521351495681484,32
do_1144461662399365121516,5
do_1141559847953694721735,8
do_1135638368885637121121,2
do_1143195460763320321167_rc,3
do_1144087405278412801711,15
do_1142076067315957761506,37
do_11418781311161958418,35
do_1144412429312573441472,3
do_1142856454394920961107,20
do_1137038396353904641109,1
do_113574957540024320188,48
do_114168776966201344137,556
do_1141490005875015681564,2
do_1142993094675087361137,52
do_113965694416830464166,1
do_1142027326745149441338,1
do_1143823826882723841691,18
do_1141390820138680321344,19
do_1142693032612331521285,18
do_1142684181883371521184,142
do_1143293168600186881737,34
do_11440794872692736016,7
do_1142871629875118081343,1
do_114267060139606016122,3
do_1137257312040468481195,15
do_114169588398022656170,6
do_1144017031751680001999,61
do_1141199537155112961484,5
do_113669696891633664186,67
do_114324454189498368177,353
do_1142884653764689921476,6
do_114178586343383040119,1
do_1141065100513771521268,22
do_113814058959093760164,7
do_1141334337655029761162,17
do_1143024547836395521173,64
do_1142755387469086721100,2
do_11427836359681638419,48
do_113873682316345344182,5
do_11434910009934643211075,43
do_114096623009964032190,1
do_1144463193843712001555,61
do_114180146140389376154,81
do_1142800130171289601319,4
do_113797117911187456164,222
do_1143225224240660481488,11
do_11427699642332774412,41
do_1134186647327293441451,5
do_114194162930753536120,1
do_114168177242816512141,68
do_1143576794390691841545,201
do_1144335464948121601101,10
do_11446748380479488011,14
do_114085983245516800166,1
do_1144384479133696001418,28
do_11445684414741708814,69
do_1142677778108252161113,852
do_114168726370476032135,6
do_11436965298108825619,12
do_1134128898434662401233,49
do_114095897406881792156_rc,84
do_1143917756073656321254,9
do_1143024940931563521207,61
