entity_id,comment
do_113729186519785472154,TRAINING COMPLETED OK
do_113729186519785472154,creative thinking is not opening 
do_113729186519785472154,pdf not opening 
do_113729186519785472154,"kindly address the issue, two pdf files are not opening and leading to non completion of course."
do_113729186519785472154,"personal effectiveness and creative thinking PDF files are not opening. though I completed 98%, I couldn't get certificate due to those files. kindly resolve early"
do_113729186519785472154,"I got a mail from igot there is some issue with those PDF in App, pl open in chrome browser in desktop mode and complete ur course"
do_113729186519785472154,Nice content 🙏🙏🙏
do_113729186519785472154,please complete the training  not able to  attend  2 Letcher creative  and  prasanal effect 
do_113729186519785472154,still not coming up
do_113729186519785472154,NOT ABLE TO COMPLER 2 LECRURE
do_113729186519785472154,not able to complete 2 lectures 
do_113729186519785472154,Very effective
do_113729186519785472154,personal effectiveness and creative thinking not opening please resolve the issue.
do_113729186519785472154,2 pdf are not opened..
do_113729186519785472154,2 pdf not opened
do_113729186519785472154,creative thinking pdf not. opening
do_113729186519785472154,personal effectiveness pdf not opening
do_113729186519785472154,pl issued executive training completion certificate
do_113729186519785472154,2 pdf are not opening 
do_113729186519785472154,2 pdf are not opening 
do_113729186519785472154,2 pdf are not opening. 98% completed. 
do_113729186519785472154,Completed
do_113729186519785472154,"Can I get a certificate for Executive part alone, or I have to complete the Non Executive portion too to obtain the certificate? "
do_113729186519785472154,2 PDFs not opening 
do_113729186519785472154,"2pdfs are opening in the PC , Completed the course "
do_113729186519785472154,open in PC
do_113729186519785472154,2 PDFs are not opening 
do_113729186519785472154,2 pdf are not opening so I am unable to finish the task.kindly solve it .
do_113729186519785472154,to PDF not open unable to complete
do_113729186519785472154,personal effectiveneas and creative thinking pdf not opening.. couse 98%comete but unable to get certificate
do_113729186519785472154,98% completed only certificate not generated 
do_113729186519785472154,The modules and assessments for non-executives should be in english  also. 
do_113729186519785472154,completed the executive training programme for 20H 37 m and completed final assessment. But it is showing 58% completed.
do_113729186519785472154,Certificate is not released
do_113729186519785472154,98% completed certificate not generated 
